rmsd_ca,end_to_end,protein_lipid_sep,rg_ca,lipid_plane_dist,contacts,phi_avg,psi_avg,helix_fraction,phi12
3.266484761606137877e+00,2.326434880519267168e+01,7.238101938772045685e+01,9.570940984410198027e+00,6.225000381469726562e+01,2.000000000000000000e+00,-5.975628579659888828e+01,-1.470391942387601247e+01,8.000000000000000444e-01,-5.690072276342686308e+01
3.640254632096715959e+00,2.508445469483213586e+01,7.221644900921994292e+01,9.724900402405593169e+00,6.159000396728515625e+01,2.000000000000000000e+00,-6.457801221135895275e+01,-8.763714970228390300e+00,7.714285714285714635e-01,-5.902639136768898709e+01
3.593972261334555718e+00,2.504570061661777558e+01,7.348599741226205140e+01,9.769480198416282235e+00,6.115000152587890625e+01,2.000000000000000000e+00,-6.433623492095098584e+01,-1.072968859356915239e+01,8.000000000000000444e-01,-7.882700669764290069e+01
3.465635408252822458e+00,2.464320859577813749e+01,6.969396608113157754e+01,9.706932031180246057e+00,5.967000579833984375e+01,6.000000000000000000e+00,-6.331342469164341935e+01,-1.100870792864596126e+01,8.000000000000000444e-01,-7.558604344876616210e+01
3.625979607193097198e+00,2.478887273816149772e+01,7.359445265671756431e+01,9.710609918093489057e+00,5.800000000000000000e+01,3.000000000000000000e+00,-6.275503263566299950e+01,-1.204333369640069407e+01,8.000000000000000444e-01,-6.869718986546322981e+01
3.534393877880838808e+00,2.604881468008474954e+01,7.263620200897909740e+01,9.847570291982066237e+00,6.037000274658203125e+01,3.000000000000000000e+00,-6.727668423760351857e+01,-7.516164820357094989e+00,7.714285714285714635e-01,-4.085297997939544956e+01
3.674004106724980456e+00,2.593174615832088037e+01,7.022685474589812316e+01,1.006406678993776360e+01,6.027000427246093750e+01,2.000000000000000000e+00,-6.543145831283503355e+01,-8.117952069848787033e+00,8.000000000000000444e-01,-6.069213787098270529e+01
3.587887306045158820e+00,2.519905286686361023e+01,6.945348914668591078e+01,9.823348817182505854e+00,5.536000061035156250e+01,1.000000000000000000e+00,-6.698171712735647532e+01,-1.022704800942159231e+01,7.714285714285714635e-01,-7.247795936954807416e+01
3.737603392230802513e+00,2.585112042907674379e+01,6.918999547162974295e+01,9.793223625343818739e+00,5.811000442504882812e+01,2.000000000000000000e+00,-6.493167764309826850e+01,-8.800971455428491907e+00,7.714285714285714635e-01,-6.756474312283141614e+01
3.560593401393616020e+00,2.517884095927833954e+01,7.222573580929017112e+01,9.778663844180469411e+00,6.058000183105468750e+01,3.000000000000000000e+00,-6.386645654354903456e+01,-1.105298924114224413e+01,8.000000000000000444e-01,-6.904098057778992370e+01
3.457800928735421664e+00,2.382418279864075572e+01,7.033387416874450082e+01,9.636013825499516017e+00,6.352000427246093750e+01,4.000000000000000000e+00,-6.236574645850851795e+01,-1.152856721807857099e+01,8.000000000000000444e-01,-5.903591581059930604e+01
3.566948762910939763e+00,2.523097292693332605e+01,6.838048965891729836e+01,9.853852498813964189e+00,6.094000244140625000e+01,4.000000000000000000e+00,-6.413431257708077737e+01,-8.866770105074461839e+00,8.000000000000000444e-01,-6.267094638371446536e+01
3.379892255356105490e+00,2.411663160094335723e+01,6.908458059699633225e+01,9.670508943316054484e+00,6.235000228881835938e+01,0.000000000000000000e+00,-6.261830318590164524e+01,-1.096907809053647043e+01,8.000000000000000444e-01,-7.959872803334039304e+01
3.548693559392954278e+00,2.500290037650036723e+01,6.852954748858354606e+01,9.761231724462270165e+00,6.101000213623046875e+01,1.000000000000000000e+00,-6.635373477161763844e+01,-8.567518385891492727e+00,7.714285714285714635e-01,-6.103603977213123244e+01
3.298882520532956164e+00,2.453440071862026173e+01,7.271308523930549939e+01,9.715463925795466693e+00,6.161000061035156250e+01,3.000000000000000000e+00,-6.464187395913086220e+01,-9.044210716678769302e+00,7.714285714285714635e-01,-5.690289269409598205e+01
3.319848671927721373e+00,2.420299076622680445e+01,6.779077774856237681e+01,9.599454259917511223e+00,5.911000061035156250e+01,3.000000000000000000e+00,-6.167325446084097251e+01,-1.249402971988426891e+01,8.000000000000000444e-01,-6.206003269686527801e+01
3.184675912448676538e+00,2.364062840848649216e+01,6.608912819301656327e+01,9.728952519072393557e+00,6.169000244140625000e+01,2.000000000000000000e+00,-6.633372027464997700e+01,-7.867690006774246569e+00,7.714285714285714635e-01,-5.351631496623993201e+01
3.537067308848241165e+00,2.453792468261114124e+01,6.578989677862485053e+01,9.876439175434461148e+00,6.114000320434570312e+01,2.000000000000000000e+00,-6.595827684498702581e+01,-6.875644913807642311e+00,7.714285714285714635e-01,-5.911479108178981789e+01
3.362551488160693935e+00,2.432506595288541362e+01,6.603833711804448114e+01,9.692374358153212910e+00,6.010000228881835938e+01,6.000000000000000000e+00,-6.680905188896339553e+01,-7.567789871854945005e+00,7.714285714285714635e-01,-6.627736372374330642e+01
3.424661243028255697e+00,2.374652809429636591e+01,6.596590499435333754e+01,9.807066586869929381e+00,6.012000274658203125e+01,3.000000000000000000e+00,-6.796881725266267438e+01,-7.472807098669487225e+00,7.714285714285714635e-01,-6.515711568426253564e+01
3.349449690500902133e+00,2.420571592341440947e+01,6.536565398885483091e+01,9.685618636143052740e+00,5.559000396728515625e+01,4.000000000000000000e+00,-6.468464421142947174e+01,-1.083258942927085400e+01,8.000000000000000444e-01,-7.081525890238418697e+01
3.504091116025897179e+00,2.408138391238475862e+01,6.573429211991455645e+01,9.842032916220125216e+00,6.114000320434570312e+01,2.000000000000000000e+00,-6.486438218407123202e+01,-1.060578322374392357e+01,7.714285714285714635e-01,-5.778461653732481551e+01
3.457316416610690890e+00,2.354244350109479456e+01,6.625968166416247129e+01,9.703897657519231501e+00,6.001000213623046875e+01,1.000000000000000000e+00,-6.665808293139760110e+01,-8.960827464111540408e+00,8.000000000000000444e-01,-6.103159912269183707e+01
3.329740078431580041e+00,2.378378011504296552e+01,6.434116131410036132e+01,9.773351688612391897e+00,5.736000061035156250e+01,3.000000000000000000e+00,-6.124007224303883135e+01,-1.332588160352768902e+01,8.000000000000000444e-01,-5.408920748341721918e+01
3.423802689819678058e+00,2.500428738395504880e+01,6.332219947235827817e+01,9.715073994189783235e+00,5.738000488281250000e+01,4.000000000000000000e+00,-6.236589388980780058e+01,-1.104318398465604112e+01,8.000000000000000444e-01,-5.669646911866977490e+01
3.429173108310256346e+00,2.412254693541413175e+01,6.531484260165527189e+01,9.645757665638148737e+00,5.906000137329101562e+01,4.000000000000000000e+00,-6.183033279257990955e+01,-1.122797769058194817e+01,8.000000000000000444e-01,-6.854546271195985696e+01
3.364882743903176543e+00,2.362710830307792165e+01,6.403421279834230972e+01,9.605797643175574052e+00,5.891000366210937500e+01,1.000000000000000000e+00,-6.195271987665815772e+01,-1.329559328611049551e+01,7.714285714285714635e-01,-5.208933935630535927e+01
3.658466193866104721e+00,2.472006415448681338e+01,6.483297594500558603e+01,9.740712590145570005e+00,6.042000198364257812e+01,3.000000000000000000e+00,-6.579442480810922689e+01,-1.128228311148656005e+01,8.000000000000000444e-01,-7.656764255210198655e+01
3.758229933662219580e+00,2.492887281236241037e+01,6.423766700919459538e+01,9.855265401154582605e+00,6.090000152587890625e+01,2.000000000000000000e+00,-6.632795372124510891e+01,-9.419947786982703519e+00,7.714285714285714635e-01,-6.154529474560844449e+01
3.627051997942932982e+00,2.501622335184334034e+01,6.708831897373991637e+01,9.701852786880683865e+00,6.079000473022460938e+01,4.000000000000000000e+00,-6.683944007295130518e+01,-8.668168191497565900e+00,7.714285714285714635e-01,-5.917567255806752513e+01
3.456617714327201885e+00,2.335990249900889992e+01,6.654107054837949420e+01,9.712409789701490936e+00,6.129000091552734375e+01,0.000000000000000000e+00,-6.520312978132139392e+01,-8.922981190313354460e+00,8.000000000000000444e-01,-6.150211640794159251e+01
3.102178181564828385e+00,2.185323201879731059e+01,6.471276894376281064e+01,9.527899001806924062e+00,6.112000274658203125e+01,1.000000000000000000e+00,-6.103469501584273615e+01,-1.259528345329388621e+01,8.000000000000000444e-01,-5.811306279529063090e+01
2.796246265803432163e+00,2.171353835514634767e+01,6.590946314382811977e+01,9.525809787032640585e+00,6.006000518798828125e+01,4.000000000000000000e+00,-6.345626638187828661e+01,-9.744210272752118485e+00,8.000000000000000444e-01,-5.840094010089918442e+01
2.972250209328886505e+00,2.285821896207795234e+01,6.586697510000351485e+01,9.629986483204694636e+00,5.936000442504882812e+01,4.000000000000000000e+00,-6.518408358844823169e+01,-9.421671998688704974e+00,8.000000000000000444e-01,-6.692563897090779790e+01
2.916068395677187564e+00,2.267363796557872746e+01,6.641684262452852749e+01,9.595606596955988721e+00,6.085000610351562500e+01,2.000000000000000000e+00,-6.405884421838396747e+01,-9.747194198752817229e+00,7.714285714285714635e-01,-6.019996910949994628e+01
2.973593100842073511e+00,2.188227476252016501e+01,6.627402150442995321e+01,9.551251147665718477e+00,5.943000411987304688e+01,1.000000000000000000e+00,-6.511705916357138335e+01,-9.139295617796918236e+00,7.714285714285714635e-01,-4.812115078616445629e+01
3.068266539837849027e+00,2.263230752923788103e+01,6.640633417610827394e+01,9.637772618966554461e+00,5.904000091552734375e+01,1.000000000000000000e+00,-6.355303441938389852e+01,-1.131963135972407919e+01,8.000000000000000444e-01,-6.703170449821232069e+01
2.809404515280327974e+00,2.173712805987983643e+01,6.569414585196739154e+01,9.482800257331154725e+00,5.738000488281250000e+01,1.000000000000000000e+00,-6.054508526859903128e+01,-1.279441109290127798e+01,8.000000000000000444e-01,-4.893907030626073862e+01
2.732790476719811235e+00,2.104145814397900338e+01,6.590810004323265048e+01,9.514450336504957306e+00,5.858000183105468750e+01,2.000000000000000000e+00,-6.229872532339351210e+01,-1.002956554742814888e+01,7.714285714285714635e-01,-6.443092221698353228e+01
2.751051587999028492e+00,2.068036609230681222e+01,6.853947404577517943e+01,9.414216317452639871e+00,5.962000274658203125e+01,0.000000000000000000e+00,-6.292900481452194583e+01,-1.016359606018901651e+01,8.000000000000000444e-01,-6.405337662031517709e+01
2.847311027687049023e+00,2.135245717301674162e+01,6.923819170935287559e+01,9.384623234459146701e+00,5.816000366210937500e+01,2.000000000000000000e+00,-6.371073983289875287e+01,-8.818082593896699350e+00,7.714285714285714635e-01,-6.190670491682578813e+01
3.113075539092541089e+00,2.202600534717900516e+01,7.015501254170706602e+01,9.529359627663426480e+00,5.955000305175781250e+01,1.000000000000000000e+00,-6.481579578985643764e+01,-7.596958076531078241e+00,7.428571428571428825e-01,-6.705456088169182749e+01
2.775231669666133882e+00,2.053146286484795979e+01,7.263193581278171962e+01,9.607191224990954126e+00,6.074000549316406250e+01,3.000000000000000000e+00,-6.559266099322168486e+01,-6.258337582889760498e+00,7.428571428571428825e-01,-4.776252077169785082e+01
2.857642776194872170e+00,2.186078380467548143e+01,7.177025121200243518e+01,9.426888767549524317e+00,5.815000152587890625e+01,3.000000000000000000e+00,-6.075660071997473466e+01,-1.158797993672826721e+01,8.000000000000000444e-01,-5.612880252908855994e+01
2.922733732776610083e+00,2.147716219649979408e+01,7.289013779524874792e+01,9.449773822932074907e+00,5.666000366210937500e+01,3.000000000000000000e+00,-6.177716793982749266e+01,-1.056293131569485411e+01,7.714285714285714635e-01,-8.848344280390061556e+01
3.066641423660917631e+00,2.341898388724545299e+01,7.281978137228121284e+01,9.629139110256302203e+00,5.742000198364257812e+01,3.000000000000000000e+00,-6.150351727292863302e+01,-1.202953485382506038e+01,8.000000000000000444e-01,-6.742239338647584646e+01
3.085415950902576920e+00,2.251318515715830415e+01,7.324349108735384561e+01,9.559158932231630601e+00,5.826000213623046875e+01,3.000000000000000000e+00,-7.026136985361824827e+01,-5.983059004326689134e+00,7.714285714285714635e-01,-7.269405206625192761e+01
2.949173824731063487e+00,2.170422310149505307e+01,7.322870517624561160e+01,9.566966673548813915e+00,6.227000427246093750e+01,3.000000000000000000e+00,-5.777608215275088099e+01,-1.373133185108197019e+01,8.285714285714286254e-01,-5.530103630360174805e+01
2.937508336826448740e+00,2.155127997712453336e+01,7.436596710834120927e+01,9.432070076151873650e+00,6.177000427246093750e+01,3.000000000000000000e+00,-6.405854073999869058e+01,-9.934320773045183017e+00,7.714285714285714635e-01,-5.934915494856501539e+01
2.948351852637661086e+00,2.168863959373330985e+01,7.644845751414206347e+01,9.450541029494573309e+00,6.125000381469726562e+01,3.000000000000000000e+00,-6.431494868622293382e+01,-9.726119961486258347e+00,7.714285714285714635e-01,-5.890820806612453708e+01
2.902036502441639687e+00,2.203829269041872507e+01,7.527356350168290078e+01,9.628478079075847518e+00,5.834000015258789062e+01,3.000000000000000000e+00,-6.622341828973523548e+01,-7.409122565040823893e+00,7.714285714285714635e-01,-5.335779351887288158e+01
2.654137781525634843e+00,2.112830269694116225e+01,7.668552502848633878e+01,9.533429168713121626e+00,5.952999877929687500e+01,3.000000000000000000e+00,-6.319534416046715108e+01,-1.040875983228239043e+01,8.000000000000000444e-01,-6.979907785938398490e+01
2.931725231897923223e+00,2.143687162948193503e+01,7.856714013188292256e+01,9.430274427302880014e+00,5.991000366210937500e+01,3.000000000000000000e+00,-6.435240604252845742e+01,-8.199485167616812120e+00,7.714285714285714635e-01,-6.035470632779996691e+01
2.766258172370873680e+00,2.077801221274834731e+01,7.974811312266152186e+01,9.307088290406149156e+00,6.018000030517578125e+01,3.000000000000000000e+00,-6.569324167616588284e+01,-8.386572891231612203e+00,7.714285714285714635e-01,-7.496970122533204517e+01
3.167383944783097860e+01,8.912179389238387728e+01,7.176103461988489585e+01,3.515707252625747259e+01,5.775000000000000000e+01,3.000000000000000000e+00,-3.805510941132167346e+01,-1.395844144578221169e+01,6.571428571428571397e-01,-5.706354474125730292e+01
3.685367404263033109e+01,8.843802561483059321e+01,6.936721718651000401e+01,4.217362274343357598e+01,6.097000122070312500e+01,3.000000000000000000e+00,-4.476263130712286653e+01,-8.685248497503573972e+00,6.285714285714285587e-01,-4.886934664360455116e+01
3.914863395597448914e+01,8.911480896425159415e+01,6.427898227550242893e+01,4.471875208550028447e+01,5.923000335693359375e+01,6.000000000000000000e+00,-3.819278636364315815e+01,6.425009423630131167e+00,5.714285714285713969e-01,-6.351856205849218640e+01
3.692712012685851164e+01,8.636140535584915767e+01,6.514822175818456174e+01,4.225551540984741195e+01,5.867000198364257812e+01,4.000000000000000000e+00,-4.603791747935255074e+01,2.410325542588985126e+00,5.999999999999999778e-01,1.031094431153884443e+02
3.558212458673177281e+01,8.507164834730166092e+01,6.937705245333852133e+01,4.089157743613176166e+01,5.805000305175781250e+01,4.000000000000000000e+00,-4.997740881991565942e+01,-8.430504493560839752e-01,6.571428571428571397e-01,1.038966745546358936e+02
3.234518384351016351e+01,2.003052284464187593e+01,7.174905531553646654e+01,3.690675528658440641e+01,6.013000488281250000e+01,2.000000000000000000e+00,-5.765219635494820238e+01,-7.062412965655428643e+00,6.857142857142857206e-01,-5.363259861713019916e+01
2.862876766931024264e+01,1.969696095941542779e+01,7.450991196722418408e+01,3.218081607517280673e+01,5.885000228881835938e+01,3.000000000000000000e+00,-5.812862329376616799e+01,-4.945173785174062253e+00,7.714285714285714635e-01,-7.826555391434018816e+01
3.283727462116075202e+01,2.014303614975084145e+01,7.066815075329027707e+01,3.769072629931340401e+01,6.074000549316406250e+01,3.000000000000000000e+00,-6.399304437423202074e+01,-1.624937934203527723e+00,7.428571428571428825e-01,-8.734125266403073340e+01
3.555314858375820108e+01,8.376130371558670618e+01,7.030656788251137357e+01,4.144358691574308295e+01,5.938999938964843750e+01,3.000000000000000000e+00,-5.556249249169528781e+01,-1.114486072691931184e+01,7.142857142857143016e-01,-7.154658196993341335e+01
3.145635326351689542e+01,2.037247811379180717e+01,7.187426655358805760e+01,3.600038823367201246e+01,6.151000595092773438e+01,4.000000000000000000e+00,-5.901837727599133387e+01,-7.625582209572981718e+00,6.857142857142857206e-01,-1.033614069519939562e+02
3.621791592429387663e+01,8.470470845074129329e+01,7.147669491377249074e+01,4.208464354333920454e+01,6.241000366210937500e+01,3.000000000000000000e+00,-5.728721115366356287e+01,6.798309347051251450e+00,6.571428571428571397e-01,-7.103102116239330144e+01
2.627026939306563946e+01,2.182961691868522180e+01,7.676221143846649397e+01,2.924378739176406938e+01,6.270000457763671875e+01,4.000000000000000000e+00,-5.627374891516087985e+01,-8.256385756585482127e+00,7.428571428571428825e-01,-6.249456367149871028e+01
2.825037274390318931e+00,2.215239990557984484e+01,7.755213161646911146e+01,9.502699942083513207e+00,6.306000137329101562e+01,3.000000000000000000e+00,-6.093443477908623152e+01,-1.225089215490498873e+01,8.000000000000000444e-01,-6.051000362049801140e+01
2.652985007666166339e+01,1.989099552258227277e+01,7.207961067674850142e+01,2.940682649976368879e+01,6.139000320434570312e+01,3.000000000000000000e+00,-4.907116353728905267e+01,-8.932474443311344103e+00,7.142857142857143016e-01,-7.036393181671191144e+01
2.039453670079468495e+01,2.090381489907224122e+01,7.518421991950603456e+01,2.059570973769596591e+01,5.998000335693359375e+01,3.000000000000000000e+00,-6.184207453619332995e+01,-9.428438377530740766e+00,7.714285714285714635e-01,-7.668155951831938921e+01
3.047149019829757943e+00,2.116003824321381543e+01,7.463019913247957504e+01,9.438265519106646906e+00,5.815000152587890625e+01,4.000000000000000000e+00,-6.462942009136105526e+01,-7.367139444193366415e+00,7.714285714285714635e-01,-6.449638771047581542e+01
1.553110926619552323e+01,2.078533809421911727e+01,7.812481068055161870e+01,1.619172001126313987e+01,6.299000167846679688e+01,3.000000000000000000e+00,-6.803061992458884788e+01,-7.188873928146763070e+00,7.714285714285714635e-01,-6.529573141550199011e+01
2.052184640680950167e+01,2.096898598787526069e+01,7.739075221246770298e+01,2.098070839221962203e+01,5.871000289916992188e+01,3.000000000000000000e+00,-5.664165080660487916e+01,-9.147350090748378904e+00,7.714285714285714635e-01,-6.482882447718000662e+01
2.696232825805477518e+01,2.141374537624994545e+01,7.295754366470083596e+01,3.023539108817990950e+01,6.040000534057617188e+01,4.000000000000000000e+00,-5.162552610272745568e+01,-6.316243436401689948e+00,6.857142857142857206e-01,-5.672578588159085911e+01
3.016589417213483060e+00,2.154876239825217255e+01,7.511799431614213063e+01,9.409743439377653118e+00,6.070999908447265625e+01,1.000000000000000000e+00,-6.417996771163100789e+01,-9.833659383284697242e+00,7.714285714285714635e-01,-7.052679773855413714e+01
2.685235872063663010e+01,2.040513409922782984e+01,7.244116843812207662e+01,3.007545660506896468e+01,6.000000381469726562e+01,2.000000000000000000e+00,-5.946816520693023023e+01,-2.642329299250152808e+00,7.428571428571428825e-01,-8.198031522300651375e+01
2.702210156010600528e+01,2.027567397007068806e+01,7.163754622896513524e+01,3.012340797547774329e+01,5.964000320434570312e+01,2.000000000000000000e+00,-5.347744257262273493e+01,-5.115864799293617926e-01,7.428571428571428825e-01,-5.723432884889896144e+01
2.845918812445909651e+01,2.116609963090890645e+01,7.351348425433820921e+01,3.202377988788030905e+01,6.142000198364257812e+01,1.000000000000000000e+00,-5.458405543379139147e+01,-7.301052721053482131e+00,7.142857142857143016e-01,-6.641761175986887622e+01
2.821923664179546165e+01,2.124310553299898530e+01,7.597539809831049240e+01,3.171595075539321940e+01,6.154000091552734375e+01,3.000000000000000000e+00,-6.335312826483990989e+01,5.853401730445381368e+00,6.857142857142857206e-01,-8.596757880663307105e+01
2.332265074021385587e+01,2.049068096658803739e+01,7.718924510741234712e+01,2.411752875437432309e+01,6.046000671386718750e+01,5.000000000000000000e+00,-5.100275180615088999e+01,-6.514920673991167810e+00,7.142857142857143016e-01,-7.359972899824866488e+01
2.067619535501923522e+01,2.176373031563677074e+01,7.676228971653989674e+01,2.049052979327549906e+01,5.965999984741210938e+01,3.000000000000000000e+00,-6.125107439684643396e+01,-1.168132255277246578e+01,8.000000000000000444e-01,-6.115149468346539408e+01
2.048210320726562728e+01,2.153650923831693476e+01,7.595260551467289645e+01,2.074631326327046210e+01,5.577000045776367188e+01,3.000000000000000000e+00,-5.596123557900463652e+01,-9.941464621136960389e+00,7.714285714285714635e-01,-4.883350901183019488e+01
1.576207813225344445e+01,2.157269214167545357e+01,7.466463458344442472e+01,1.618020934329289773e+01,5.760000228881835938e+01,4.000000000000000000e+00,-6.370578218832716288e+01,-1.072278016757679353e+01,7.714285714285714635e-01,-6.393276651966480983e+01
3.180655135990418714e+00,2.054714409824418553e+01,7.726993031849009697e+01,9.475160271979584437e+00,6.020000457763671875e+01,4.000000000000000000e+00,-5.864344554026714462e+01,-1.075495803211415335e+01,7.714285714285714635e-01,-6.701647565280656238e+01
3.155367139668280529e+00,2.218931987331142608e+01,7.397180008157410214e+01,9.527553087243859409e+00,6.134000396728515625e+01,4.000000000000000000e+00,-6.007215829126398887e+01,-1.236796204864139526e+01,8.285714285714286254e-01,-5.469120451056163290e+01
3.044275392605105157e+00,2.115957165870457857e+01,7.589357370349431164e+01,9.462584959947060170e+00,5.867000198364257812e+01,3.000000000000000000e+00,-6.452679598341948974e+01,-8.539400997268492333e+00,8.000000000000000444e-01,-7.120345543971887992e+01
2.946275245977179935e+00,2.079708094486334957e+01,7.662994946246308814e+01,9.288512134958061495e+00,5.993000411987304688e+01,3.000000000000000000e+00,-6.369594144311171391e+01,-9.296210440265292974e+00,7.714285714285714635e-01,-5.773339762887928828e+01
3.163540868600459799e+00,2.187067914389490753e+01,7.639915851907321098e+01,9.428222461933073006e+00,5.963000488281250000e+01,2.000000000000000000e+00,-6.276912275943524122e+01,-1.023302168691092184e+01,8.000000000000000444e-01,-6.689713614152836385e+01
2.967407246147658384e+00,2.063758272794398962e+01,7.461890528532109101e+01,9.286619872616842741e+00,6.244000244140625000e+01,3.000000000000000000e+00,-6.564450861363764034e+01,-7.906793042288839501e+00,8.000000000000000444e-01,-5.170181973825867061e+01
2.956500001027558167e+00,1.937223188355805803e+01,7.659267820484217282e+01,9.334378319190788531e+00,5.883000183105468750e+01,3.000000000000000000e+00,-6.503067689880974456e+01,-8.126464269346019620e+00,7.714285714285714635e-01,-7.431180755943869087e+01
